"sub_region_2","date","retail_and_recreation","grocery_and_pharmacy","parks","transit_stations","workplaces","residential","date_of_interest"
"ALL",2020-02-15,3,-4,-2,-4,1,0,2020-02-15
"ALL",2020-02-16,7,-3,13,0,0,-1,2020-02-16
"ALL",2020-02-17,7,-2,23,-22,-37,9,2020-02-17
"ALL",2020-02-18,-2,-5,-4,-5,-10,3,2020-02-18
"ALL",2020-02-19,3,-2,11,-3,-9,2,2020-02-19
"ALL",2020-02-20,2,-3,0,-3,-9,2,2020-02-20
"ALL",2020-02-21,-1,-5,-8,-6,-9,3,2020-02-21
"ALL",2020-02-22,8,0,29,3,4,-1,2020-02-22
"ALL",2020-02-23,9,2,54,3,3,-1,2020-02-23
"ALL",2020-02-24,3,0,25,-1,4,0,2020-02-24
"ALL",2020-02-25,-1,-2,-1,-1,3,0,2020-02-25
"ALL",2020-02-26,4,3,-1,0,3,0,2020-02-26
"ALL",2020-02-27,-1,-2,-4,0,0,1,2020-02-27
"ALL",2020-02-28,1,0,-9,0,3,1,2020-02-28
"ALL",2020-02-29,7,1,-5,-1,4,0,2020-02-29
"ALL",2020-03-01,10,5,9,0,3,-1,2020-03-01
"ALL",2020-03-02,6,5,16,-1,4,0,2020-03-02
"ALL",2020-03-03,4,6,6,0,4,0,2020-03-03
"ALL",2020-03-04,7,8,16,0,3,0,2020-03-04
"ALL",2020-03-05,8,9,21,0,4,-1,2020-03-05
"ALL",2020-03-06,-1,0,-11,-3,3,1,2020-03-06
"ALL",2020-03-07,10,8,17,0,6,-1,2020-03-07
"ALL",2020-03-08,10,7,61,0,2,-1,2020-03-08
"ALL",2020-03-09,7,8,62,-4,1,0,2020-03-09
"ALL",2020-03-10,1,7,14,-7,-1,1,2020-03-10
"ALL",2020-03-11,3,11,20,-8,-1,1,2020-03-11
"ALL",2020-03-12,1,27,6,-13,-3,2,2020-03-12
"ALL",2020-03-13,-6,28,1,-19,-8,5,2020-03-13
"ALL",2020-03-14,-9,21,20,-20,-2,4,2020-03-14
"ALL",2020-03-15,-14,14,28,-25,-7,4,2020-03-15
"ALL",2020-03-16,-15,24,-10,-36,-25,10,2020-03-16
"ALL",2020-03-17,-31,13,-16,-42,-32,14,2020-03-17
"ALL",2020-03-18,-33,10,7,-44,-36,16,2020-03-18
"ALL",2020-03-19,-39,2,-16,-50,-40,18,2020-03-19
"ALL",2020-03-20,-40,8,-9,-50,-43,20,2020-03-20
"ALL",2020-03-21,-46,0,-1,-50,-30,13,2020-03-21
"ALL",2020-03-22,-54,-19,-15,-59,-36,13,2020-03-22
"ALL",2020-03-23,-62,-37,-64,-69,-57,26,2020-03-23
"ALL",2020-03-24,-53,-18,-16,-63,-56,25,2020-03-24
"ALL",2020-03-25,-56,-23,-38,-66,-57,26,2020-03-25
"ALL",2020-03-26,-52,-18,1,-64,-57,25,2020-03-26
"ALL",2020-03-27,-54,-20,-7,-64,-57,27,2020-03-27
"ALL",2020-03-28,-61,-28,-52,-67,-45,18,2020-03-28
"ALL",2020-03-29,-62,-32,-47,-68,-46,16,2020-03-29
"ALL",2020-03-30,-55,-26,-40,-69,-60,26,2020-03-30
"ALL",2020-03-31,-55,-24,-36,-69,-61,26,2020-03-31
"ALL",2020-04-01,-52,-18,-13,-67,-61,26,2020-04-01
"ALL",2020-04-02,-54,-20,-26,-69,-62,27,2020-04-02
"ALL",2020-04-03,-57,-22,-56,-70,-62,30,2020-04-03
"ALL",2020-04-04,-58,-21,-5,-65,-47,18,2020-04-04
"ALL",2020-04-05,-59,-28,-11,-68,-47,15,2020-04-05
"ALL",2020-04-06,-53,-21,-3,-69,-62,26,2020-04-06
"ALL",2020-04-07,-60,-11,-6,-69,-63,26,2020-04-07
"ALL",2020-04-08,-62,-12,-23,-70,-63,27,2020-04-08
"ALL",2020-04-09,-65,-15,-46,-73,-65,29,2020-04-09
"ALL",2020-04-10,-65,-13,-53,-72,-66,32,2020-04-10
"ALL",2020-04-11,-62,-4,-12,-65,-48,18,2020-04-11
"ALL",2020-04-12,-75,-44,-10,-68,-51,15,2020-04-12
"ALL",2020-04-13,-70,-39,-59,-76,-64,29,2020-04-13
"ALL",2020-04-14,-60,-19,-15,-68,-61,26,2020-04-14
"ALL",2020-04-15,-59,-20,-25,-69,-61,27,2020-04-15
"ALL",2020-04-16,-61,-20,-35,-70,-61,27,2020-04-16
"ALL",2020-04-17,-62,-22,-43,-68,-60,29,2020-04-17
"ALL",2020-04-18,-65,-25,-40,-67,-45,18,2020-04-18
"ALL",2020-04-19,-62,-26,11,-64,-43,14,2020-04-19
"ALL",2020-04-20,-59,-23,-19,-68,-59,25,2020-04-20
"ALL",2020-04-21,-63,-27,-43,-71,-60,27,2020-04-21
"ALL",2020-04-22,-60,-19,-28,-68,-59,26,2020-04-22
"ALL",2020-04-23,-60,-20,-32,-69,-59,26,2020-04-23
"ALL",2020-04-24,-63,-25,-50,-70,-59,29,2020-04-24
"ALL",2020-04-25,-57,-15,45,-58,-41,14,2020-04-25
"ALL",2020-04-26,-66,-33,-58,-70,-44,15,2020-04-26
"ALL",2020-04-27,-59,-23,-37,-68,-58,25,2020-04-27
"ALL",2020-04-28,-54,-15,22,-64,-57,18,2020-04-28
"ALL",2020-04-29,-56,-19,-27,-67,-58,25,2020-04-29
"ALL",2020-04-30,-58,-21,-45,-69,-58,26,2020-04-30
"ALL",2020-05-01,-55,-15,-28,-64,-56,26,2020-05-01
"ALL",2020-05-02,-51,-10,63,-54,-38,13,2020-05-02
"ALL",2020-05-03,-50,-16,71,-57,-36,10,2020-05-03
"ALL",2020-05-04,-51,-17,-11,-64,-55,23,2020-05-04
"ALL",2020-05-05,-49,-9,4,-63,-55,22,2020-05-05
"ALL",2020-05-06,-54,-16,-30,-65,-55,24,2020-05-06
"ALL",2020-05-07,-50,-8,16,-62,-55,22,2020-05-07
"ALL",2020-05-08,-55,-14,-40,-65,-54,25,2020-05-08
"ALL",2020-05-09,-53,-6,-29,-59,-37,15,2020-05-09
"ALL",2020-05-10,-50,-12,22,-56,-33,10,2020-05-10
"ALL",2020-05-11,-55,-23,-31,-66,-54,23,2020-05-11
"ALL",2020-05-12,-50,-12,0,-62,-53,22,2020-05-12
"ALL",2020-05-13,-48,-10,18,-61,-53,22,2020-05-13
"ALL",2020-05-14,-49,-11,15,-61,-53,22,2020-05-14
"ALL",2020-05-15,-50,-12,12,-59,-52,23,2020-05-15
"ALL",2020-05-16,-47,-9,73,-52,-33,11,2020-05-16
"ALL",2020-05-17,-47,-15,54,-56,-31,10,2020-05-17
"ALL",2020-05-18,-47,-14,-3,-61,-51,21,2020-05-18
"ALL",2020-05-19,-44,-9,13,-60,-51,20,2020-05-19
"ALL",2020-05-20,-43,-6,27,-59,-51,20,2020-05-20
"ALL",2020-05-21,-42,-4,39,-58,-51,20,2020-05-21
"ALL",2020-05-22,-45,-6,19,-57,-50,21,2020-05-22
"ALL",2020-05-23,-50,-12,0,-58,-32,12,2020-05-23
"ALL",2020-05-24,-43,-7,93,-52,-29,7,2020-05-24
"ALL",2020-05-25,-49,-15,70,-67,-73,23,2020-05-25
"ALL",2020-05-26,-43,-8,39,-57,-49,18,2020-05-26
"ALL",2020-05-27,-41,-5,40,-56,-48,19,2020-05-27
"ALL",2020-05-28,-44,-7,7,-58,-49,20,2020-05-28
"ALL",2020-05-29,-47,-11,3,-57,-49,22,2020-05-29
"ALL",2020-05-30,-44,-6,77,-47,-21,9,2020-05-30
"ALL",2020-05-31,-43,-11,79,-49,-21,8,2020-05-31
"ALL",2020-06-01,-40,-8,22,-56,-46,18,2020-06-01
"ALL",2020-06-02,-43,-8,14,-57,-47,19,2020-06-02
"ALL",2020-06-03,-43,-7,10,-58,-47,19,2020-06-03
"ALL",2020-06-04,-40,-3,46,-55,-46,18,2020-06-04
"ALL",2020-06-05,-44,-8,4,-57,-46,19,2020-06-05
"ALL",2020-06-06,-42,-4,74,-47,-21,8,2020-06-06
"ALL",2020-06-07,-37,-6,113,-45,-20,6,2020-06-07
"ALL",2020-06-08,-36,-5,49,-54,-44,16,2020-06-08
"ALL",2020-06-09,-36,-2,60,-53,-44,16,2020-06-09
"ALL",2020-06-10,-35,-2,48,-52,-44,16,2020-06-10
"ALL",2020-06-11,-38,-5,12,-55,-45,17,2020-06-11
"ALL",2020-06-12,-37,-2,52,-50,-43,16,2020-06-12
"ALL",2020-06-13,-35,-1,102,-41,-17,6,2020-06-13
"ALL",2020-06-14,-34,-6,113,-43,-17,5,2020-06-14
"ALL",2020-06-15,-32,-6,45,-52,-43,15,2020-06-15
"ALL",2020-06-16,-31,0,62,-50,-43,15,2020-06-16
"ALL",2020-06-17,-31,-1,57,-50,-43,15,2020-06-17
"ALL",2020-06-18,-31,0,52,-50,-43,15,2020-06-18
"ALL",2020-06-19,-33,0,61,-48,-44,13,2020-06-19
"ALL",2020-06-20,-33,5,104,-40,-16,5,2020-06-20
"ALL",2020-06-21,-34,-2,112,-41,-15,3,2020-06-21
"ALL",2020-06-22,-31,-8,48,-50,-45,14,2020-06-22
"ALL",2020-06-23,-28,0,58,-47,-44,14,2020-06-23
"ALL",2020-06-24,-27,-1,60,-47,-42,14,2020-06-24
"ALL",2020-06-25,-27,1,63,-47,-42,13,2020-06-25
"ALL",2020-06-26,-31,-1,64,-45,-42,13,2020-06-26
"ALL",2020-06-27,-34,-4,48,-40,-19,6,2020-06-27
"ALL",2020-06-28,-30,-6,100,-39,-14,4,2020-06-28
"ALL",2020-06-29,-25,-4,55,-48,-42,13,2020-06-29
"ALL",2020-06-30,-23,0,47,-47,-42,13,2020-06-30
"ALL",2020-07-01,-22,3,49,-46,-42,13,2020-07-01
"ALL",2020-07-02,-17,10,86,-43,-43,11,2020-07-02
"ALL",2020-07-03,-25,10,52,-50,-58,17,2020-07-03
"ALL",2020-07-04,-44,-6,129,-43,-31,4,2020-07-04
"ALL",2020-07-05,-31,-12,115,-39,-20,2,2020-07-05
"ALL",2020-07-06,-26,-6,42,-49,-46,13,2020-07-06
"ALL",2020-07-07,-24,2,56,-46,-44,13,2020-07-07
"ALL",2020-07-08,-25,0,46,-47,-43,13,2020-07-08
"ALL",2020-07-09,-23,3,77,-45,-42,12,2020-07-09
"ALL",2020-07-10,-37,-13,-8,-53,-44,17,2020-07-10
"ALL",2020-07-11,-29,-1,48,-39,-16,6,2020-07-11
"ALL",2020-07-12,-23,-3,141,-35,-16,2,2020-07-12
