"borough","ClosureType","EditDate","FeatureType","PropID","PropName","PropNum","SiteName","Status","longitude","latitude","Approx.Date.Closed","Approx.Date.Reopened","button","content"
"Manhattan","","04/14/2020 03:44:24 PM","Exercise Equipment","M045","John Jay Park","M045","John Jay Park","Active",-73.9494832266936,40.7692388356536,"","","AdultExerciseEquip","John Jay Park, Manhattan, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B025","Cooper Park","B025","Cooper Park","Active",-73.9372400026493,40.715852579423,"","","AdultExerciseEquip","Cooper Park, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/21/2020 11:39:52 AM","Exercise Equipment","Q134","Breininger Park","Q134","Breininger Park","Reopened",-73.7289747558708,40.725827895761,"04/11/2020 07:06:52 PM","06/21/2020 11:39:50 AM","AdultExerciseEquip","Breininger Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 02:12:49 PM","Exercise Equipment","B298","Stockton Playground","B298","Stockton Playground","Reopened",-73.9486737673398,40.697283737703,"04/10/2020 12:27:53 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Stockton Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Completely Locked","06/23/2020 11:10:39 AM","Exercise Equipment","Q001-ZN01","Alley Pond Park","Q001","Alley Pond Park Zone 1","Reopened",-73.7362682120704,40.7394921530654,"04/11/2020 07:14:22 PM","06/23/2020 11:10:37 AM","AdultExerciseEquip","Alley Pond Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Temporary Fencing","06/22/2020 10:33:37 AM","Exercise Equipment","X137","Jerome Park","X137","Jerome Park","Reopened",-73.8919726294351,40.8786544553472,"04/13/2020 12:01:05 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Jerome Park, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Partially Locked","06/23/2020 09:25:50 AM","Exercise Equipment","Q026","Park Of The Americas","Q026","Park Of The Americas","Reopened",-73.8619227197738,40.748565106905,"04/13/2020 09:15:26 AM","06/23/2020 09:25:48 AM","AdultExerciseEquip","Park Of The Americas, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 11:24:26 AM","Exercise Equipment","B141","City Line Park","B141","City Line Park","Reopened",-73.8749227404245,40.6794817999445,"05/21/2020 01:03:15 PM","06/20/2020 12:00:00 AM","AdultExerciseEquip","City Line Park, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Completely Locked","06/22/2020 05:21:11 PM","Exercise Equipment","M079","St. Catherine's Park","M079","St. Catherine's Park","Reopened",-73.9587213697007,40.7651944089339,"04/10/2020 11:53:33 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","St. Catherine's Park, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 10:05:38 AM","Exercise Equipment","X206","Morgan Playground","X206","Morgan Playground","Reopened",-73.9074353081409,40.8322742951959,"04/10/2020 08:42:35 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Morgan Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","","04/09/2020 03:24:38 PM","Exercise Equipment","X118-ZN03","Soundview Park","X118","Soundview Park Zone 3","Active",-73.8730510323255,40.8182864962869,"","","AdultExerciseEquip","Soundview Park, Bronx, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Manhattan","","04/13/2020 01:10:34 PM","Exercise Equipment","M047","Thomas Jefferson Park","M047","Thomas Jefferson Park","Active",-73.9355900505793,40.7932024270962,"","","AdultExerciseEquip","Thomas Jefferson Park, Manhattan, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
